"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",12.75,46.9166666666667,1.10742712020874,7.35460424423218,31.2184753417969,620.114807128906,13.673999786377,-9.88449954986572,23.5584983825684,8.79108333587646,-6.1515417098999,8.79108333587646,-6.1515417098999,1375,165,72,25.3356151580811,464,238,464,238
"background",84.9166666666667,45.5833333333333,8.82530212402344,10.1370620727539,18.817813873291,1616.59436035156,34.3279991149902,-19.5415000915527,53.869499206543,25.1290416717529,-8.84079170227051,27.0325832366943,-12.842791557312,115,21,3,58.0312080383301,54,11,54,12
"background",-4.75,52.9166666666667,10.3685188293457,4.58518505096436,32.6132774353027,354.04638671875,17.9333324432373,3.87407422065735,14.0592584609985,9.31172847747803,10.9320983886719,14.8574066162109,6.36419773101807,879,98,51,23.6022338867188,287,163,207,250
"background",60.75,41.25,13.3815107345581,12.5451459884644,28.5035972595215,1186.74670410156,37.0304985046387,-6.98199987411499,44.0124969482422,14.453125,25.5855827331543,27.9189167022705,-1.26958322525024,114,19,1,57.2149620056152,48,6,8,38
"background",12.5833333333333,2.41666666666667,23.6874580383301,9.66275024414062,84.2896194458008,64.3187255859375,29.9554996490479,18.4917507171631,11.4637489318848,23.4927082061768,23.8771667480469,24.489875793457,22.9149589538574,1607,294,42,58.2819061279297,653,141,388,279
"background",47.5833333333333,23.75,26.3657398223877,12.2730207443237,42.4716110229492,634.380554199219,40.7887496948242,11.8917503356934,28.8969993591309,22.273458480835,33.6331253051758,33.6331253051758,18.2155838012695,97,33,0,115.699546813965,66,1,1,25
"background",76.25,22.0833333333333,27.3102188110352,14.2335205078125,46.0464096069336,461.857757568359,43.1082496643066,12.1969995498657,30.9112510681152,27.5497093200684,28.2425003051758,33.619499206543,21.8315830230713,885,251,1,139.267333984375,718,6,112,22
"background",-9.25,28.4166666666667,21.9993019104004,12.4202709197998,42.3181457519531,611.380004882812,36.349250793457,6.99949979782104,29.3497505187988,18.6002922058105,27.4295425415039,29.3320007324219,14.2577495574951,63,15,0,79.0120849609375,36,2,2,25
"background",-9.75,51.4166666666667,10.403977394104,5.15037870407104,39.1979904174805,307.907745361328,17.5924243927002,4.45303010940552,13.1393947601318,7.877272605896,12.9351005554199,14.3944444656372,7.01565647125244,1469,176,75,30.3555603027344,505,240,310,437
"background",53.75,44.25,10.6073331832886,11.0052499771118,25.0261516571045,1255.15368652344,34.3222503662109,-9.65275001525879,43.9749984741211,10.8113746643066,24.2529582977295,26.1224994659424,-4.77741670608521,128,18,5,36.0580863952637,50,19,24,27
"background",25.75,41.25,11.2490940093994,9.31764602661133,32.6265258789062,727.226318359375,26.8367500305176,-1.72175002098083,28.558500289917,4.09608316421509,19.7876243591309,20.2430419921875,2.50933337211609,639,85,26,32.7592887878418,219,88,106,205
"background",88.5833333333333,59.0833333333333,-1.57911467552185,10.2231454849243,20.4788513183594,1412.39587402344,24.8907508850098,-25.0297508239746,49.9205017089844,16.0537090301514,-9.74570846557617,16.0537090301514,-19.0404167175293,542,74,19,38.491886138916,201,70,201,91
"background",49.4166666666667,9.58333333333334,25.2328224182129,9.85885429382324,62.5056114196777,215.009246826172,32.867000579834,17.0942497253418,15.7727508544922,26.2164173126221,22.3704986572266,27.1863746643066,22.3704986572266,103,27,0,111.364852905273,57,2,31,2
"background",27.0833333333333,29.9166666666667,21.974781036377,12.7413539886475,47.4057197570801,545.246948242188,35.1365013122559,8.25924968719482,26.8772506713867,15.1259164810181,28.3444576263428,28.3444576263428,15.1259164810181,60,16,0,95.0810394287109,39,0,0,39
"background",63.25,25.75,26.95143699646,14.8176250457764,49.080020904541,559.077453613281,41.3392486572266,11.1485004425049,30.1907482147217,20.7758331298828,27.4539165496826,33.0138740539551,19.2882919311523,163,38,2,70.2014083862305,60,11,52,56
"background",12.4166666666667,-15.25,25.0378341674805,9.97970867156982,62.8326454162598,224.213150024414,32.5214996337891,16.638500213623,15.882999420166,27.027458190918,23.9046669006348,27.027458190918,21.7329998016357,134,52,0,129.000076293945,97,0,97,0
"background",22.25,25.4166666666667,23.0028228759766,13.8888540267944,44.1831169128418,683.782470703125,37.9115028381348,6.47674989700317,31.4347534179688,27.6512908935547,15.6097078323364,30.4654579162598,13.9497919082642,1,1,0,26.646936416626,1,0,0,0
"background",34.0833333333333,9.91666666666667,27.3856048583984,13.3375425338745,69.2832260131836,174.876190185547,38.5180015563965,19.2672500610352,19.2507514953613,25.4068756103516,28.1494579315186,29.8163757324219,25.4068756103516,772,156,0,93.7198715209961,428,1,42,428
"background",73.0833333333333,42.4166666666667,-0.41661462187767,14.8572702407837,34.4410591125488,1042.81799316406,21.8917503356934,-21.2465000152588,43.1382522583008,4.61045837402344,-13.3723745346069,11.3773746490479,-13.3723745346069,556,80,27,38.771369934082,220,91,142,91
